Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura sp.	Porous sea rods	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura wagenaari	NA	52205	52205
Anthozoa	Alcyonacea	Telestidae	Briareum polyanthes	NA	NA	NA
Anthozoa	Anthipataria	Antipathidae	Cirrhipathes leutkeni	Wire coral	NA	NA
Anthozoa	Antipatharia	Antipatharia	Antipathes sp.	Fire coral	NA	NA
Anthozoa	Antipatharia	Antipathidae	Antipathes atlantica	Gray sea fan black coral	51952	51952
Anthozoa	Antipatharia	Antipathidae	Antipathes caribbeana	NA	719203	719203
Anthozoa	Antipatharia	Antipathidae	Antipathes furcata	NA	51947	51947
Anthozoa	Antipatharia	Antipathidae	Antipathes gracilis	Orange sea fan black coral	51945	51945
Anthozoa	Antipatharia	Antipathidae	Antipathes lenta	NA	51955	51955
Anthozoa	Antipatharia	Antipathidae	Antipathes pennacea	Feather black coral	51956	51956
Anthozoa	Antipatharia	Antipathidae	Stichopathes lutkeni	NA	51965	51965
Anthozoa	Antipatharia	Antipathidae	Stichopathes occidentalis	NA	NA	NA
Anthozoa	Antipatharia	Antipathidae	Stichopathes sp.	NA	NA	NA
Anthozoa	Antipatharia	Myriopathidae	Plumapathes pennacea	NA	NA	NA
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes barbadensis	NA	NA	NA
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes hirta	NA	NA	NA
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes tanacetum	NA	NA	NA
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes thamnea	NA	NA	NA
Anthozoa	Corallimorpharia	Corallimorphidae	Pseudocorynactis caribbeorum	NA	NA	NA
Anthozoa	Corallimorpharia	Discosomatidae	Discosoma carlgreni	NA	719239	719239
Anthozoa	Corallimorpharia	Discosomatidae	Discosoma santithomae	NA	NA	NA
Anthozoa	Corallimorpharia	Ricordiidae	Ricordea florida	False coral	52484	52484
Anthozoa	Gorgonacea	Ellisellidae	Ctenocella schmitti	Bushy sea whip	NA	NA
Anthozoa	Gorgonacea	Ellisellidae	Nicella schmitti	Bushy sea whip	52292	52292
Anthozoa	Pennatulacea	Antipathidae	Stylatula sp.	NA	NA	NA
Anthozoa	Scleractinia	Acroporidae	Acropora cervicornis	Staghorn coral	52862	52862
Anthozoa	Scleractinia	Acroporidae	Acropora palmata	Elkhorn coral	52861	52861
Anthozoa	Scleractinia	Acroporidae	Acropora prolifera	Fused staghom coral	52863	52863
Anthozoa	Scleractinia	Agariciidae	Agaricia agaricites	Lettuce coral	53050	53050
Anthozoa	Scleractinia	Agariciidae	Agaricia danai	NA	NA	NA
Anthozoa	Scleractinia	Agariciidae	Agaricia fragilis	Fragile saucer coral.	53055	53055
Anthozoa	Scleractinia	Agariciidae	Agaricia grahamae	NA	53062	53062
Anthozoa	Scleractinia	Agariciidae	Agaricia humilis	Lowrelief lettuce coral	53063	53063
Anthozoa	Scleractinia	Agariciidae	Agaricia lamarcki	Lamarck's sheet coral	53058	53058
Anthozoa	Scleractinia	Agariciidae	Agaricia purpurea	NA	NA	NA
Anthozoa	Scleractinia	Agariciidae	Agaricia reticulata	NA	NA	NA
Anthozoa	Scleractinia	Agariciidae	Agaricia tenuifolia	Thin leaf lettuce coral	53060	53060
Anthozoa	Scleractinia	Agariciidae	Agaricia undata	Scroll coral	53061	53061
Anthozoa	Scleractinia	Agariciidae	Leptoseris cucullata	Sunray lettuce coral	53036	53036
Anthozoa	Scleractinia	Astrangiidae	Astrangia solitaria	Dwarf cup coral	53367	53367
Anthozoa	Scleractinia	Astrangiidae	Phyllangia americana	Hidden Cup coral	53378	53378
Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia intersepta	NA	52844	52844
Anthozoa	Scleractinia	Caryophylliidae	Eusmilia fastigiata	Smooth flower coral	53622	53622
Anthozoa	Scleractinia	Faviidae	Colpophyllia amaranthus	NA	53291	53291
Anthozoa	Scleractinia	Faviidae	Colpophyllia breviserialis	Closed-Valley Barin coral	53290	53290
Anthozoa	Scleractinia	Faviidae	Colpophyllia natans	Boulder brain coral	53289	53289
Anthozoa	Scleractinia	Faviidae	Diploria clivosa	Knobby brain coral	53285	53285
